DATE,RSXFS
2018-02-01,433647.0
2018-03-01,432774.0
2018-04-01,434998.0
2018-05-01,440091.0
2018-06-01,437762.0
2018-07-01,440024.0
2018-08-01,439439
2018-09-01,438880.0
2018-10-01,443924.0
2018-11-01,445847.0
2018-12-01,435613.0
2019-01-01,438860.0
2019-02-01,439249.0
2019-03-01,446687.0
2019-04-01,446833.0
2019-05-01,449524.0
2019-06-01,449409.0
2019-07-01,453221.0
2019-08-01,456082.0
2019-09-01,452230.0
2019-10-01,453365.0
2019-11-01,456587.0
2019-12-01,457253.0
2020-01-01,456420.0
2020-02-01,456401.0
2020-03-01,429196.0
2020-04-01,376918.0
2020-05-01,443726.0
2020-06-01,473811.0
2020-07-01,480116.0
2020-08-01,482243.0
2020-09-01,491386.0
2020-10-01,489705.0
2020-11-01,487287.0
2020-12-01,495533.0
2021-01-01,511693.0
2021-02-01,498200.0
2021-03-01,550963.0
2021-04-01,554420.0
2021-05-01,545289.0
2021-06-01,548693.0
2021-07-01,537817.0
2021-08-01,542140.0
2021-09-01,545726.0
2021-10-01,555517.0
2021-11-01,562175.0
2021-12-01,558148.0
2022-01-01,571325.0
2022-02-01,574609.0
2022-03-01,585912.0
2022-04-01,592141.0
2022-05-01,589282.0
2022-06-01,593360.0
2022-07-01,589039.0
2022-08-01,590987.0
2022-09-01,588894.0
2022-10-01,595839.0
2022-11-01,588309.0
2022-12-01,581749.0
2023-01-01,603496.0
2023-02-01,598274.0
2023-03-01,590606.0
2023-04-01,594962.0
2023-05-01,596688.0
2023-06-01,598006.0
2023-07-01,599702.0
2023-08-01,603784.0
2023-09-01,608307.0
2023-10-01,606596.0
2023-11-01,606035.0
2023-12-01,608730.0
2024-01-01,601921.0
2024-02-01,606720.0
2024-03-01,610060.0
2024-04-01,608458.0
2024-05-01,610010.0
2024-06-01,608460.0
2024-07-01,615001.0
