DATE,RSXFS
2008-08-01,334045
2008-09-01,328343
2008-10-01,314830
2008-11-01,301332
2008-12-01,294025
2009-01-01,298673
2009-02-01,297631
2009-03-01,292300
2009-04-01,293614
2009-05-01,296501
2009-06-01,302169
2009-07-01,302802
2009-08-01,309023
2009-09-01,301033
2009-10-01,304154
2009-11-01,306675
2009-12-01,308413
2010-01-01,308229.0
2010-02-01,308457.0
2010-03-01,315743.0
2010-04-01,318696.0
2010-05-01,315409.0
2010-06-01,314770.0
2010-07-01,315684.0
2010-08-01,317008.0
2010-09-01,320014.0
2010-10-01,323990.0
2010-11-01,327341.0
2010-12-01,329670.0
2011-01-01,332141.0
2011-02-01,334635.0
2011-03-01,337892.0
2011-04-01,339711.0
2011-05-01,338974.0
2011-06-01,341643.0
2011-07-01,341321.0
2011-08-01,341973.0
2011-09-01,345554.0
2011-10-01,347691.0
2011-11-01,349082.0
2011-12-01,349646.0
2012-01-01,352564.0
2012-02-01,357350.0
2012-03-01,358627.0
2012-04-01,356607.0
2012-05-01,355867.0
2012-06-01,352053.0
2012-07-01,353688.0
2012-08-01,358499.0
2012-09-01,361272.0
2012-10-01,361685.0
2012-11-01,362788.0
2012-12-01,364127.0
2013-01-01,366967.0
2013-02-01,372138.0
2013-03-01,368962.0
2013-04-01,367040.0
2013-05-01,369500.0
2013-06-01,370730.0
2013-07-01,373090.0
2013-08-01,372210.0
2013-09-01,372302.0
2013-10-01,373253.0
2013-11-01,373756.0
2013-12-01,376445.0
2014-01-01,373083.0
2014-02-01,378355.0
2014-03-01,382101.0
2014-04-01,386376.0
2014-05-01,386735.0
2014-06-01,387708.0
2014-07-01,388043.0
2014-08-01,391074.0
2014-09-01,389456.0
2014-10-01,390413.0
2014-11-01,391491.0
2014-12-01,388012.0
2015-01-01,385312.0
2015-02-01,384779.0
2015-03-01,390738.0
2015-04-01,391246.0
2015-05-01,394260.0
2015-06-01,394652.0
2015-07-01,397994.0
2015-08-01,397712.0
2015-09-01,395625.0
2015-10-01,394121.0
2015-11-01,395827.0
2015-12-01,396822.0
2016-01-01,394305.0
2016-02-01,397747.0
2016-03-01,396522.0
2016-04-01,397977.0
2016-05-01,399587.0
2016-06-01,404408.0
2016-07-01,403560.0
2016-08-01,403580.0
2016-09-01,405979.0
2016-10-01,407000.0
2016-11-01,405846.0
2016-12-01,412437.0
2017-01-01,415660.0
2017-02-01,415563.0
2017-03-01,414869.0
2017-04-01,416613.0
2017-05-01,414253.0
2017-06-01,416255.0
2017-07-01,416403.0
2017-08-01,416861.0
2017-09-01,426256.0
2017-10-01,426561.0
2017-11-01,431085.0
2017-12-01,433299.0
2018-01-01,431006.0
